id,title,vote_average,vote_count,revenue,budget,popularity,genres,release_date,imdb_id,production_countries,original_language,ROI
272,Batman Begins,7.701,19561,374218673,150000000,66.286,"Action, Crime, Drama",2005-06-10,tt0372784,"United Kingdom, United States of America",en,1.4947911533333333
284053,Thor: Ragnarok,7.595,19539,855301806,180000000,45.2,"Action, Adventure, Science Fiction",2017-10-02,tt3501632,United States of America,en,3.7516767
150540,Inside Out,7.922,19463,857611174,175000000,107.292,"Animation, Family, Adventure, Drama, Comedy",2015-06-09,tt2096673,United States of America,en,3.90063528
135397,Jurassic World,6.682,19414,1671537444,150000000,54.089,"Action, Adventure, Science Fiction, Thriller",2015-06-06,tt0369610,United States of America,en,10.14358296
807,Se7en,8.368,19403,327311859,33000000,53.521,"Crime, Mystery, Thriller",1995-09-22,tt0114369,United States of America,en,8.918541181818181
674,Harry Potter and the Goblet of Fire,7.816,19287,895921036,150000000,134.276,"Adventure, Fantasy",2005-11-16,tt0330373,"United Kingdom, United States of America",en,4.9728069066666665
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,655011224,140000000,80.509,"Adventure, Fantasy, Action",2003-07-09,tt0325980,United States of America,en,3.6786516
12445,Harry Potter and the Deathly Hallows: Part 2,8.105,19183,1341511219,125000000,110.974,"Fantasy, Adventure",2011-07-12,tt1201607,"United Kingdom, United States of America",en,9.732089752
11,Star Wars,8.204,19155,775398007,11000000,88.559,"Adventure, Action, Science Fiction",1977-05-25,tt0076759,United States of America,en,69.49072790909091
297762,Wonder Woman,7.236,18954,822854286,149000000,54.628,"Action, Adventure, Fantasy",2017-05-30,tt0451279,United States of America,en,4.5225119865771815
14160,Up,7.949,18857,735099082,175000000,90.968,"Animation, Comedy, Family, Adventure",2009-05-28,tt1049413,United States of America,en,3.200566182857143
102899,Ant-Man,7.082,18730,519311965,130000000,37.692,"Science Fiction, Action, Adventure",2015-07-14,tt0478970,United States of America,en,2.9947074230769233
238,The Godfather,8.707,18677,245066411,6000000,158.448,"Drama, Crime",1972-03-14,tt0068646,United States of America,en,39.844401833333336
286217,The Martian,7.678,18525,630600000,108000000,76.0,"Drama, Adventure, Science Fiction",2015-09-30,tt3659388,"United Kingdom, United States of America",en,4.838888888888889
105,Back to the Future,8.314,18442,381109762,19000000,62.543,"Adventure, Comedy, Science Fiction",1985-07-03,tt0088763,United States of America,en,19.05840852631579
140607,Star Wars: The Force Awakens,7.293,18352,2068223624,245000000,66.772,"Adventure, Action, Science Fiction",2015-12-15,tt2488496,United States of America,en,7.44172907755102
634649,Spider-Man: No Way Home,7.99,18299,1921847111,200000000,186.065,"Action, Adventure, Science Fiction",2021-12-15,tt10872600,United States of America,en,8.609235555
675,Harry Potter and the Order of the Phoenix,7.686,18177,938212738,150000000,117.168,"Adventure, Fantasy",2007-07-08,tt0373889,"United Kingdom, United States of America",en,5.254751586666667
767,Harry Potter and the Half-Blood Prince,7.697,18127,933959197,250000000,121.735,"Adventure, Fantasy",2009-07-15,tt0417741,"United Kingdom, United States of America",en,2.735836788
263115,Logan,7.8,18116,619021436,97000000,54.194,"Action, Drama, Science Fiction",2017-02-28,tt3315342,United States of America,en,5.381664288659794
12,Finding Nemo,7.824,18061,940335536,94000000,55.456,"Animation, Family",2003-05-30,tt0266543,United States of America,en,9.003569531914893
346364,It,7.242,18018,701800000,40000000,74.73,"Horror, Fantasy",2017-09-06,tt1396484,United States of America,en,16.545
245891,John Wick,7.421,17923,88761661,20000000,55.739,"Action, Thriller",2014-10-22,tt2911666,United States of America,en,3.43808305
259316,Fantastic Beasts and Where to Find Them,7.334,17892,809342332,180000000,46.103,"Fantasy, Adventure, Family",2016-11-16,tt3183660,"United Kingdom, United States of America",en,3.4963462888888888
12444,Harry Potter and the Deathly Hallows: Part 1,7.763,17782,954305868,250000000,111.984,"Adventure, Fantasy",2010-11-17,tt0926084,"United Kingdom, United States of America",en,2.817223472
354912,Coco,8.222,17742,800526015,175000000,166.578,"Family, Animation, Fantasy, Music, Comedy, Adventure",2017-10-27,tt2380307,United States of America,en,3.5744343714285716
100402,Captain America: The Winter Soldier,7.671,17692,714766572,170000000,31.482,"Action, Adventure, Science Fiction",2014-03-20,tt1843866,United States of America,en,3.2045092470588235
557,Spider-Man,7.279,17653,821708551,139000000,63.478,"Fantasy, Action",2002-05-01,tt0145487,United States of America,en,4.911572309352518
10681,WALL·E,8.078,17446,521311860,180000000,58.517,"Animation, Family, Science Fiction",2008-06-22,tt0910970,United States of America,en,1.896177
210577,Gone Girl,7.892,17381,369330363,61000000,46.611,"Mystery, Thriller, Drama",2014-10-01,tt2267998,United States of America,en,5.054596114754099
49051,The Hobbit: An Unexpected Journey,7.339,17356,1021103568,250000000,83.524,"Adventure, Fantasy, Action",2012-12-12,tt0903624,"New Zealand, United States of America",en,3.084414272
585,"Monsters, Inc.",7.835,17189,579707738,115000000,86.936,"Animation, Comedy, Family",2001-11-01,tt0198781,United States of America,en,4.040936852173913
862,Toy Story,7.971,17152,394400000,30000000,78.404,"Animation, Adventure, Family, Comedy",1995-10-30,tt0114709,United States of America,en,12.146666666666667
281957,The Revenant,7.5,17114,532950503,135000000,36.747,"Western, Drama, Adventure",2015-12-25,tt1663202,"Canada, Hong Kong, Taiwan, United States of America",en,2.9477815037037036
209112,Batman v Superman: Dawn of Justice,5.952,17081,873637528,250000000,78.589,"Action, Adventure, Fantasy",2016-03-23,tt2975590,"Canada, United Kingdom, United States of America",en,2.494550112
8587,The Lion King,8.256,16991,763455561,45000000,87.384,"Family, Animation, Drama",1994-06-24,tt0110357,United States of America,en,15.965679133333333
98,Gladiator,8.209,16962,465361176,103000000,53.587,"Action, Drama, Adventure",2000-05-04,tt0172495,"United Kingdom, United States of America",en,3.518069669902913
37165,The Truman Show,8.133,16827,264118201,60000000,42.954,"Comedy, Drama",1998-06-04,tt0120382,United States of America,en,3.4019700166666667
9806,The Incredibles,7.704,16584,631442092,92000000,62.609,"Action, Adventure, Animation, Family",2004-10-27,tt0317705,United States of America,en,5.863501
329865,Arrival,7.6,16564,203388186,47000000,47.983,"Drama, Science Fiction, Mystery",2016-11-10,tt2543164,"Canada, India, United States of America",en,3.3274082127659574
496243,Parasite,8.515,16430,257591776,11363000,64.627,"Comedy, Thriller, Drama",2019-05-30,tt6751668,South Korea,ko,21.669345771363197
76338,Thor: The Dark World,6.538,16359,644783140,170000000,59.968,"Action, Adventure, Fantasy",2013-10-30,tt1981115,United States of America,en,2.792842
1930,The Amazing Spider-Man,6.691,16352,757930663,215000000,78.989,"Action, Adventure, Fantasy",2012-06-23,tt0948470,United States of America,en,2.525258897674419
381288,Split,7.337,16345,278454358,9000000,44.51,"Horror, Thriller",2017-01-19,tt4972582,United States of America,en,29.93937311111111
383498,Deadpool 2,7.492,16324,785896609,110000000,66.096,"Action, Comedy, Adventure",2018-05-10,tt5463162,United States of America,en,6.144514627272727
694,The Shining,8.218,16205,44781695,19000000,45.252,"Horror, Thriller",1980-05-23,tt0081505,"United Kingdom, United States of America",en,1.3569313157894738
24,Kill Bill: Vol. 1,7.97,16188,180906076,30000000,36.315,"Action, Crime",2003-10-10,tt0266697,United States of America,en,5.030202533333333
101299,The Hunger Games: Catching Fire,7.4,16182,865011746,130000000,49.864,"Adventure, Action, Science Fiction",2013-11-15,tt1951264,United States of America,en,5.653936507692308
77338,The Intouchables,8.277,16083,426588510,13000000,41.656,"Drama, Comedy",2011-11-02,tt1675434,France,fr,31.81450076923077
419430,Get Out,7.62,16081,255407969,4500000,36.442,"Mystery, Thriller, Horror",2017-02-24,tt5052448,United States of America,en,55.757326444444445
205596,The Imitation Game,8.007,15973,233555708,14000000,47.491,"History, Drama, Thriller, War",2014-11-14,tt2084970,"United Kingdom, United States of America",en,15.682550571428571
424694,Bohemian Rhapsody,7.997,15965,903992901,52000000,37.55,"Music, Drama, History",2018-10-24,tt1727824,"United Kingdom, United States of America",en,16.384478865384615
497,The Green Mile,8.507,15937,286801374,60000000,83.739,"Fantasy, Drama, Crime",1999-12-10,tt0120689,United States of America,en,3.7800229
198663,The Maze Runner,7.173,15901,348319861,34000000,83.206,"Action, Mystery, Science Fiction, Thriller",2014-09-10,tt1790864,"United States of America, United Kingdom",en,9.244701794117647
18785,The Hangover,7.312,15812,469310836,35000000,72.655,Comedy,2009-06-02,tt1119646,"Germany, United States of America",en,12.408881028571429
1891,The Empire Strikes Back,8.4,15773,538400000,18000000,35.265,"Adventure, Action, Science Fiction",1980-05-20,tt0080684,United States of America,en,28.91111111111111
808,Shrek,7.73,15765,487853320,60000000,94.456,"Animation, Comedy, Fantasy, Adventure, Family",2001-05-18,tt0126029,United States of America,en,7.130888666666666
2062,Ratatouille,7.809,15728,623726000,150000000,82.488,"Animation, Comedy, Family, Fantasy",2007-06-28,tt0382932,United States of America,en,3.1581733333333335
207703,Kingsman: The Secret Service,7.636,15664,414351546,81000000,56.288,"Crime, Comedy, Action, Adventure",2014-12-13,tt2802144,"United Kingdom, United States of America",en,4.115451185185186
313369,La La Land,7.897,15625,447407695,30000000,32.009,"Comedy, Drama, Romance, Music",2016-11-29,tt3783958,United States of America,en,13.913589833333333
109445,Frozen,7.2,15520,1274219009,150000000,85.794,"Animation, Family, Adventure, Fantasy",2013-11-20,tt2294629,United States of America,en,7.4947933933333335
374720,Dunkirk,7.456,15464,527000000,150000000,34.529,"War, Action, Drama",2017-07-19,tt5013056,"France, Netherlands, United Kingdom, United States of America",en,2.513333333333333
269149,Zootopia,7.748,15230,1023784195,150000000,98.11,"Animation, Adventure, Family, Comedy",2016-02-11,tt2948356,United States of America,en,5.825227966666667
240832,Lucy,6.44,15181,458863600,40000000,33.913,"Action, Science Fiction",2014-07-25,tt2872732,France,en,10.47159
329,Jurassic Park,7.941,15141,920100000,63000000,24.213,"Adventure, Science Fiction",1993-06-11,tt0107290,United States of America,en,13.604761904761904
274,The Silence of the Lambs,8.3,15003,272742922,19000000,9.119,"Crime, Drama, Thriller",1991-02-14,tt0102926,United States of America,en,13.354890631578947
129,Spirited Away,8.539,14913,274925095,19000000,68.024,"Animation, Family, Fantasy",2001-07-20,tt0245429,Japan,ja,13.469741842105263
321612,Beauty and the Beast,6.967,14871,1266115964,160000000,56.226,"Family, Fantasy, Romance",2017-03-16,tt2771200,United States of America,en,6.913224775
58,Pirates of the Caribbean: Dead Man's Chest,7.346,14868,1065659812,200000000,69.403,"Adventure, Fantasy, Action",2006-07-06,tt0383574,United States of America,en,4.32829906
177572,Big Hero 6,7.738,14732,657827828,165000000,98.41,"Adventure, Family, Animation, Action, Comedy",2014-10-24,tt2245084,United States of America,en,2.986835321212121
75656,Now You See Me,7.345,14726,351723989,75000000,45.241,"Thriller, Crime",2013-05-29,tt1670345,United States of America,en,3.689653186666667
131631,The Hunger Games: Mockingjay - Part 1,6.796,14725,755356711,125000000,85.889,"Science Fiction, Adventure, Thriller",2014-11-19,tt1951265,"Canada, United States of America",en,5.042853688
335983,Venom,6.826,14724,856085151,116000000,48.649,"Science Fiction, Action",2018-09-28,tt1270797,"China, United States of America",en,6.380044405172414
1124,The Prestige,8.203,14696,109676311,40000000,48.832,"Drama, Mystery, Science Fiction",2006-10-19,tt0482571,"United Kingdom, United States of America",en,1.741907775
6479,I Am Legend,7.201,14675,585410052,150000000,59.815,"Drama, Science Fiction, Thriller",2007-12-12,tt0480249,United States of America,en,2.90273368
857,Saving Private Ryan,8.209,14658,481840909,70000000,59.745,"Drama, History, War",1998-07-24,tt0120815,United States of America,en,5.8834415571428575
299537,Captain Marvel,6.843,14657,1131416446,152000000,50.399,"Action, Adventure, Science Fiction",2019-03-06,tt4154664,United States of America,en,6.44352925
339403,Baby Driver,7.5,14634,226945087,34000000,44.974,"Action, Crime",2017-06-28,tt3890160,United Kingdom,en,5.6748555
424,Schindler's List,8.573,14594,321365567,22000000,65.084,"Drama, History, War",1993-12-15,tt0108052,United States of America,en,13.607525772727273
